,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Vacuole,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Cell_wall,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Vacuole,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Cell_wall,Kd,int_stoich,fb_pred,Kd_pred,Kd_pred_RF,fb_pred_RF
0,Q0045,YBR039W,564.7643307190006,133.7995773530002,0.0384594368480567,674.0,2.114,4.548,4.592,1.207,0.535,2.685,0.963,0.563,0.889,1.084,1.656,5.0,5.0,0.924,0.0,1.073,0.889,0.625,0.571,0.965,-6.399095926485941,-1.082250997374697,-1.6341473,-4.680172,-5.993553166247657,-1.159873127655498
1,Q0085,YJR069C,461.166472779,39.93803964230001,0.070999201781495,0.0,2.346,5.0,5.0,1.596,0.737,3.015,1.236,0.777,1.06,1.095,4.265,4.706,1.586,0.691,0.0,0.869,0.0,0.0,0.747,0.0,-6.642609171545163,-1.0916918870787955,-0.97203386,-5.7248163,-6.19949683163224,-1.2378702845037437
2,YGR215W,Q0140,26.508214872600007,102.78161697100008,0.3018024004237864,994.0,2.128,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-6.908949157763459,-0.5361981913551861,-0.7941447,-7.1340094,-6.993793132822511,-0.5238588858508999
3,YBR251W,Q0140,11.941606537599997,102.78161697100008,0.3528810987862048,997.0,1.746,5.0,5.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-7.281359594148544,-0.3178650419922026,-0.8071417,-7.1493363,-7.154026100868089,-0.4039029206877517
4,YPL118W,Q0140,34.647965635100114,102.78161697100008,0.2779532249774398,989.0,1.994,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-8.21969625133265,-0.1110618301001455,-0.75791633,-7.1282506,-7.6526995683060814,-0.2920755969147311
5,YPL013C,Q0140,15.073831203200063,102.78161697100008,0.2583154145210268,981.0,0.819,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-6.479834042194744,-0.7017490698558612,-0.7095957,-7.186652,-6.72033849180542,-0.6259075053425434
6,YNL137C,Q0140,31.72004562009981,102.78161697100008,0.4625446079888126,992.0,1.855,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-6.59447513312814,-0.5249567153568823,-0.70172095,-7.1834855,-6.853301372679458,-0.5234981489237558
7,Q0140,YDR337W,102.78161697100008,16.01922828210002,0.2349422673503323,983.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,1.277,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.971976297821299,-0.3540260305058301,-0.4116969,-7.4881306,-7.229677651406548,-0.4493511892640429
8,Q0140,YFR010W,102.78161697100008,76.50270812229991,0.1914286703624935,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,3.281,2.89,2.368,1.516,0.7,1.257,1.657,0.0,1.451,0.59,-6.103444031374796,-0.9143712497764156,-0.75039136,-6.668412,-5.871566451290802,-0.9662866958175576
9,Q0140,YER178W,102.78161697100008,566.1172444639997,0.1269127571685623,0.0,1.854,5.0,5.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,2.462,5.0,5.0,1.04,0.55,1.386,1.25,1.491,0.775,1.583,-3.722025582703609,-3.0876197087449686,-1.9522915,-4.8455124,-4.015745411993623,-2.742932263226889
