,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Endosome,Cmin_Lysosome,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Extracellular_region,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Endosome,Cmax_Lysosome,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Extracellular_region,Kd,int_stoich,fb_pred,Kd_pred,corum,Kd_pred_RF,fb_pred_RF
0,AAGAB,AP2S1,70.34428533000005,263.53131700000057,0.3797773027632265,917.0,4.468,4.55,0.375,0.707,1.433,1.131,1.24,0.795,0.0,0.537,2.25,1.763,5.0,2.751,1.081,1.645,5.0,4.336,4.255,0.818,1.218,1.322,-5.709642311097185,-0.9934735183874548,-1.2317696,-6.027305,0.0,-5.49377306396823,-1.245094595764694
1,AAK1,RBM12,15.224609670000023,106.72202130000063,0.3377711488003701,217.0,3.093,4.823,2.506,1.51,1.813,4.619,2.216,1.833,0.849,1.641,1.787,4.824,1.811,0.774,0.0,0.0,2.724,0.0,0.375,0.0,0.555,0.844,-5.704805158130811,-1.7236272433568671,-2.5930943,-4.7689705,0.0,-5.03376981115573,-2.321641701199042
2,AAK1,NECAP2,15.224609670000023,45.437124369999864,0.0119859741771439,836.0,3.093,4.823,2.506,1.51,1.813,4.619,2.216,1.833,0.849,1.641,1.787,1.941,4.509,0.0,0.0,0.685,4.193,1.271,0.0,0.0,0.188,0.881,-5.388410086409363,-1.935584788935364,-1.7235126,-5.7050357,0.0,-5.362815357073647,-1.9293828788273868
3,AAK1,AP2B1,15.224609670000023,102.78142639999965,0.3963328364344076,958.0,3.093,4.823,2.506,1.51,1.813,4.619,2.216,1.833,0.849,1.641,1.787,1.745,5.0,1.355,1.355,1.805,5.0,4.428,4.37,0.838,1.7,1.567,-5.763922199160079,-1.7450343357433225,-1.6377132,-5.7340283,0.0,-5.563158433662054,-1.9581370049457172
4,AAK1,AP2S1,15.224609670000023,263.53131700000057,0.0821765040655136,953.9999999999999,3.093,4.823,2.506,1.51,1.813,4.619,2.216,1.833,0.849,1.641,1.787,1.763,5.0,2.751,1.081,1.645,5.0,4.336,4.255,0.818,1.218,1.322,-5.7947278110683005,-1.5816734359067612,-1.6750292,-5.337101,0.0,-5.575555353537751,-1.909915034021514
5,DKC1,AAMP,209.6643583,204.98855000000069,0.0707415600200413,601.0,5.0,4.267,2.511,1.491,0.887,1.396,0.912,1.036,0.901,1.699,1.467,2.397,5.0,1.079,0.572,0.659,5.0,0.588,0.768,0.0,4.258,4.365,-4.906512387858723,-1.2516230034304483,-1.7595205,-4.676133,0.0,-4.699942176981,-1.571524935570766
6,AAR2,CD2BP2,34.90334933000001,101.89921999999983,0.5024267984033893,967.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,5.0,5.0,1.281,0.999,0.907,1.494,1.033,0.81,0.0,1.261,1.546,-4.552043345319303,-1.9410236529006504,-1.6261855,-5.2107844,0.0,-4.771297690473362,-1.9030892061564373
7,AAR2,RPN2,34.90334933000001,192.12181599999897,0.2259109989517396,211.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,4.276,5.0,1.189,5.0,1.431,1.832,1.018,1.339,0.188,1.176,2.365,-3.010138215829216,-3.4688579185877257,-2.8407736,-4.08959,0.0,-3.403512085206432,-3.1774891616100787
8,AAR2,SNRPF,34.90334933000001,131.2606710000002,0.1139805093463255,779.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,5.0,5.0,1.227,0.741,0.505,0.692,0.0,0.761,0.0,1.109,2.768,-5.113191532458378,-1.4376875880298787,-2.282278,-4.569069,0.0,-4.891656004083057,-1.689062005694583
9,AAR2,PTGES3,34.90334933000001,506.5630613000011,0.1004522644468181,514.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,5.0,4.591,1.817,1.874,1.3,1.878,1.128,1.415,1.251,1.829,2.258,-3.2198305583764624,-3.2608379412265203,-2.6184578,-4.3802576,0.0,-3.570966100625392,-3.034364757887351
10,AAR2,POLR2E,34.90334933000001,332.69245270000073,0.0491272814904371,204.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,5.0,4.554,1.365,1.0,0.641,1.599,0.508,0.0,0.922,1.485,0.894,-2.4390663620920647,-4.039264829446806,-2.5554953,-4.3402042,0.0,-3.3399986721062738,-3.492446535308029
11,AAR2,SNRPD2,34.90334933000001,797.665064699999,0.2090071160439998,758.0,4.503,3.49,1.111,0.0,0.0,0.0,0.0,0.0,0.371,0.784,0.0,5.0,5.0,1.277,1.046,0.706,1.316,0.699,0.621,0.767,1.281,4.254,-4.724176559256807,-1.824979804273331,-2.4084773,-4.5086126,0.0,-4.524343978215225,-2.3483040980957823
12,AATF,MSN,83.94579673000004,64.96855267000005,0.5205562681085915,216.0,5.0,5.0,1.472,1.364,0.925,1.21,0.645,0.654,0.505,2.343,1.072,4.583,5.0,2.516,2.063,2.481,5.0,2.324,2.079,1.013,5.0,4.493,-2.978981863555832,-3.364381628839185,-2.4838173,-3.5596287,0.0,-3.0298693300742685,-3.3643801414502805
13,RAB11A,AATF,235.15864449999984,83.94579673000004,0.0100127868263075,199.0,2.603,5.0,2.247,2.632,5.0,5.0,5.0,3.176,1.538,5.0,5.0,5.0,5.0,1.472,1.364,0.925,1.21,0.645,0.654,0.505,2.343,1.072,-4.716907286517049,-3.011350828202517,-3.0941806,-4.1447287,0.0,-4.588290206770128,-2.9664586555478123
14,ABCB1,CANX,6.381062100000007,685.9889127999966,0.5759527375048493,326.0,4.747,5.0,2.72,2.404,2.011,5.0,2.306,2.508,2.349,2.689,4.569,3.714,4.987,4.125,4.989,3.055,3.153,2.898,2.834,1.936,2.586,4.591,-3.721315477194811,-4.20491509524236,-3.3262813,-4.1099033,0.0,-4.043354681291693,-3.8246407173604977
15,ABCB1,RAB11A,6.381062100000007,235.15864449999984,0.2685542682701904,383.0,4.747,5.0,2.72,2.404,2.011,5.0,2.306,2.508,2.349,2.689,4.569,2.603,5.0,2.247,2.632,5.0,5.0,5.0,3.176,1.538,5.0,5.0,-5.787106477307828,-2.14081244334804,-2.587743,-4.8721704,0.0,-4.565624350898774,-3.0547528163093505
16,ABCC1,ALCAM,23.08019161000002,33.12985162999996,0.5647001389698735,457.0,2.59,2.757,2.445,2.113,1.742,4.873,1.919,2.164,1.693,2.326,4.508,2.556,3.966,2.074,2.001,1.349,5.0,1.743,1.715,2.626,2.706,4.548,-4.683948345306962,-2.602083648062804,-1.7712085,-5.434162,0.0,-4.702710099316368,-2.7435751453183634
17,ABCD3,SAE1,55.635776399999884,223.93343570000027,0.3799903549976078,213.0,1.895,5.0,3.821,1.919,1.517,1.797,1.644,1.932,5.0,1.505,1.615,5.0,4.261,2.219,1.458,0.875,1.524,1.007,1.287,0.949,1.644,1.431,-2.2946613473650057,-4.1926894617287696,-2.806766,-3.616759,0.0,-2.7717624662483256,-3.7060457818535326
18,PEX3,ABCD3,34.562716670000036,55.635776399999884,0.5669150270007052,942.0,4.569,5.0,2.466,5.0,1.651,2.018,1.638,1.696,5.0,1.516,1.452,1.895,5.0,3.821,1.919,1.517,1.797,1.644,1.932,5.0,1.505,1.615,-3.4813950582780016,-3.1629301194690704,-2.052361,-4.7387457,0.0,-3.782634167188121,-2.786721408560364
19,ABCD3,UBA1,55.635776399999884,410.08757000000134,0.3384042485923311,246.0,1.895,5.0,3.821,1.919,1.517,1.797,1.644,1.932,5.0,1.505,1.615,5.0,5.0,5.0,2.121,1.602,2.138,1.981,2.189,1.682,2.112,4.372,-2.2216530093858307,-4.265801648959107,-3.355917,-3.2955067,0.0,-2.773087871064765,-3.7687084218712816
20,ABCD3,RAB2A,55.635776399999884,66.96634886999963,0.6882193403827561,256.0,1.895,5.0,3.821,1.919,1.517,1.797,1.644,1.932,5.0,1.505,1.615,4.571,4.782,1.954,3.901,4.059,2.104,2.539,4.468,0.755,2.084,4.391,-2.7408876040067165,-3.74658135395804,-3.45897,-3.2661297,0.0,-3.154134138987132,-3.4210506399874223
21,EIF3B,ABCE1,259.2337721000016,138.01953700000013,0.5050294159048205,994.9999999999999,4.235,5.0,1.703,1.637,0.867,1.384,1.053,1.207,0.0,1.689,4.301,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,-5.180387534776914,-0.8058167171693462,-1.1258814,-4.5243034,0.0,-5.0970897864134,-0.9788575470420436
22,CTCF,ABCE1,51.427067279999946,138.01953700000013,0.0325541380348923,220.00000000000003,5.0,3.367,2.222,1.724,1.356,2.072,1.473,1.482,1.065,2.204,2.06,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,-3.998175500212042,-2.625512940403836,-2.5889523,-3.7426627,0.0,-4.046167177830476,-2.4096890119425693
23,ABCE1,CAPRIN1,138.01953700000013,203.5198229999998,0.3488773940260768,440.00000000000006,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,3.307,5.0,1.509,1.675,1.301,1.48,1.217,1.24,0.731,1.667,1.467,-3.478191319695021,-2.2765625000339,-2.3929088,-3.5762184,0.0,-3.5620990991286474,-2.343156161631517
24,ABCE1,SRP9,138.01953700000013,744.4912667,0.3147456913591639,470.0,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,2.24,5.0,1.234,4.407,0.842,1.316,0.953,0.902,0.0,0.938,1.957,-3.917435016366511,-1.845114842022174,-2.126618,-3.9170153,0.0,-3.953473301342232,-1.9862434403576883
25,GSPT1,ABCE1,195.28161100000008,138.01953700000013,0.5677342436880809,852.0,2.582,5.0,1.307,1.155,0.651,1.147,0.612,1.127,0.0,1.329,1.288,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,-3.0646738309015653,-2.788395280165091,-1.8861428,-4.464324,0.0,-3.4015970520807683,-2.39289073199788
26,ABCE1,HMGB2,138.01953700000013,386.4990967000008,0.0157270884535896,276.0,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,5.0,5.0,1.418,1.707,0.0,1.291,0.754,0.953,0.74,1.498,5.0,-2.750727211253453,-3.000972701980239,-2.578007,-3.6964471,0.0,-3.0774306798173616,-2.7626318530655904
27,ABCE1,RPL4,138.01953700000013,4474.050257999998,0.4594431360464413,968.0,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,5.0,5.0,2.377,5.0,0.999,1.587,1.043,1.316,0.939,1.728,4.341,-3.89329891325707,-1.888159436787864,-1.6543012,-4.7066975,0.0,-4.184951370006909,-1.7603758402856975
28,ABCE1,RPL5,138.01953700000013,2558.0546330000057,0.4233432489384222,909.0,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,5.0,5.0,2.548,4.361,1.136,1.64,1.215,1.317,0.768,1.685,4.331,-3.431309594836174,-2.331002365838151,-1.8187987,-4.3592296,0.0,-3.7507513434078663,-2.086894965438141
29,TOP2A,ABCE1,135.54967930000015,138.01953700000013,0.2670846557807398,285.0,5.0,5.0,2.842,1.908,1.317,2.192,1.588,1.707,1.443,2.615,2.192,3.004,5.0,5.0,1.633,1.148,1.732,1.333,1.433,2.024,1.468,1.55,-2.75211915285599,-3.4897105443420307,-2.2154148,-3.705127,0.0,-3.0876815512618005,-3.241700784968819
